2020-05-25-17-31-50,R対局(早指2),ken kikkawa,1096,mitsuji,1137,後手勝ち,116,片美濃囲い;,居飛車;居飛車穴熊;,http://192.168.56.7/t-msyk.github.io/sc24/kif/2020-05-25-17-31-50-3843316-db5806e2550c7c75b6eabc49a2888efe-toyo.kif
2020-05-24-15-34-13,R対局(早指2),tanay0shi,1090,mitsuji,1122,後手勝ち,112,三間飛車;,三間飛車;,http://192.168.56.7/t-msyk.github.io/sc24/kif/2020-05-24-15-34-13-3818883-43d1a82220507ab0061af14e860436d0-toyo.kif
2020-05-23-21-26-02,R対局(早指2),mitsuji,1106,012072,1113,先手勝ち,89,三間飛車;早石田;金無双;,三間飛車;高美濃囲い;,http://192.168.56.7/t-msyk.github.io/sc24/kif/2020-05-23-21-26-02-3802162-6702ea0028f6ddee6938b6f65c9d03af-toyo.kif
2020-05-23-10-33-55,R対局(早指2),mitsuji,1122,icecoffe,1119,後手勝ち,78,三間飛車;早石田;,三間飛車;,http://192.168.56.7/t-msyk.github.io/sc24/kif/2020-05-23-10-33-55-3784584-34369436fad0659b37087bea4b3ea030-toyo.kif
2020-05-23-09-17-06,R対局(早指2),blackmomonga,1197,mitsuji,1102,後手勝ち,102,,居飛車;雁木;,http://192.168.56.7/t-msyk.github.io/sc24/kif/2020-05-23-09-17-06-3783057-80b4d060582a21637a419a9ef25318f1-toyo.kif
2020-05-22-02-23-19,R対局(早指2),relax1,995,mitsuji,1090,後手勝ち,138,対抗形;居飛車;船囲い;袖飛車;,三間飛車;片美濃囲い;美濃囲い;高美濃囲い;,http://192.168.56.7/t-msyk.github.io/sc24/kif/2020-05-22-02-23-19-3758390-eb72b85676c59ccb7275f5856c490fa6-toyo.kif
2020-05-21-23-48-16,R対局(早指2),moriso,1171,mitsuji,1103,先手勝ち,129,対抗形;居飛車;船囲い;,三間飛車;,http://192.168.56.7/t-msyk.github.io/sc24/kif/2020-05-21-23-48-16-3757160-f506698bdf6208f3715f51da74351baf-toyo.kif
2020-05-21-23-14-58,R対局(早指2),kohtan-king,1103,mitsuji,1120,先手勝ち,151,四間飛車;片美濃囲い;美濃囲い;,三間飛車;片美濃囲い;美濃囲い;,http://192.168.56.7/t-msyk.github.io/sc24/kif/2020-05-21-23-14-58-3756649-3f63481c7007913987038f98cb3f3adb-toyo.kif
2020-05-21-22-54-49,R対局(15分),mitsuji,1103,HihinHihin,1117,先手勝ち,53,三間飛車;片美濃囲い;美濃囲い;,対抗形;居飛車;船囲い;,http://192.168.56.7/t-msyk.github.io/sc24/kif/2020-05-21-22-54-49-3756247-2ef37269e539c63b218039093839a908-toyo.kif
2020-05-21-22-39-54,R対局(早指),heppokojiji,1078,mitsuji,1087,後手勝ち,100,天守閣美濃;,三間飛車;,http://192.168.56.7/t-msyk.github.io/sc24/kif/2020-05-21-22-39-54-3755918-d2464de5e7e644acfaaf5900e23834ff-toyo.kif
2020-05-21-20-01-27,R対局(早指2),mitsuji,1104,kurunao,1073,後手勝ち,98,右四間飛車;居飛車;腰掛け銀;角換わり;,腰掛け銀;角換わり;,http://192.168.56.7/t-msyk.github.io/sc24/kif/2020-05-21-20-01-27-3751624-4ff7dbff34b0269a245dc2c32f2ed136-toyo.kif
2020-05-21-18-02-24,R対局(早指2),mitsuji,1087,cooldaice1976,1102,先手勝ち,97,中飛車（居飛車）;,四間飛車;片美濃囲い;美濃囲い;,http://192.168.56.7/t-msyk.github.io/sc24/kif/2020-05-21-18-02-24-3749045-0fd4637aa7f2428722116ff5af0d7b27-toyo.kif
2020-05-21-17-31-38,R対局(早指2),mitsuji,1071,yu.sanada,1066,先手勝ち,129,中飛車（居飛車）;,中飛車（居飛車）;居飛車;,http://192.168.56.7/t-msyk.github.io/sc24/kif/2020-05-21-17-31-38-3748347-cbec154865d076dd7f7a5a473a4bddad-toyo.kif
2020-05-20-23-58-27,R対局(早指2),habu123,1099,mitsuji,1086,先手勝ち,179,右四間飛車;対抗形;居飛車;,三間飛車;片美濃囲い;美濃囲い;,http://192.168.56.7/t-msyk.github.io/sc24/kif/2020-05-20-23-58-27-3736753-389cf14f3d184789b91ac3ebf3a6b160-toyo.kif
2020-05-20-23-39-02,R対局(15分),moriko-0627,1104,mitsuji,1102,先手勝ち,95,対抗形;対振り持久戦;居飛車;船囲い;袖飛車;,三間飛車;片美濃囲い;美濃囲い;高美濃囲い;,http://192.168.56.7/t-msyk.github.io/sc24/kif/2020-05-20-23-39-02-3736459-435a4bd0a22944fb7def82c454be6f8e-toyo.kif
2020-05-20-20-30-33,R対局(早指2),mopetken,1084,mitsuji,1086,後手勝ち,114,三間飛車;早石田;,,http://192.168.56.7/t-msyk.github.io/sc24/kif/2020-05-20-20-30-33-3731625-b26176d450f406485633429ec1e1b896-toyo.kif
2020-05-20-20-16-05,R対局(早指2),mitsuji,1101,taichi.k,1132,後手勝ち,64,三間飛車;早石田;,三間飛車;,http://192.168.56.7/t-msyk.github.io/sc24/kif/2020-05-20-20-16-05-3731192-daf26d2d94e1c910926cc589dfaf97d6-toyo.kif
2020-05-19-19-40-20,R対局(早指2),mitsuji,1082,torakenm,1147,先手勝ち,55,三間飛車;早石田;片美濃囲い;美濃囲い;,居飛車;袖飛車;,http://192.168.56.7/t-msyk.github.io/sc24/kif/2020-05-19-19-40-20-3708850-5df62cba847063dd13b6f665e4f218f8-toyo.kif
2020-05-19-19-21-09,R対局(早指2),mitsuji,1099,birishima,1068,後手勝ち,90,三間飛車;早石田;片美濃囲い;,中飛車;片美濃囲い;,http://192.168.56.7/t-msyk.github.io/sc24/kif/2020-05-19-19-21-09-3708387-72f3ffbb26abd07d9949a855650eb468-toyo.kif
2020-05-19-19-02-26,R対局(早指2),mitsuji,1114,ganbaruzouuu,1136,後手勝ち,80,三間飛車;早石田;片美濃囲い;美濃囲い;,三間飛車;,http://192.168.56.7/t-msyk.github.io/sc24/kif/2020-05-19-19-02-26-3707987-16e8532a63904111c6eaeac0b4eaba55-toyo.kif
2020-05-19-12-12-04,R対局(15分),koko2020,1293,cuncoro,1359,先手勝ち,97,対抗形;居飛車;矢倉;船囲い;,四間飛車;片美濃囲い;美濃囲い;銀冠;高美濃囲い;,http://192.168.56.7/t-msyk.github.io/sc24/kif/2020-05-19-12-12-04-3699275-634cce4822f7fe849baf075faf28167c-toyo.kif
2020-05-19-05-03-36,R対局(早指2),Y21131,1180,mitsuji,1095,後手勝ち,88,四間飛車;,三間飛車;片美濃囲い;美濃囲い;,http://192.168.56.7/t-msyk.github.io/sc24/kif/2020-05-19-05-03-36-3695334-a5e5f5bd4804a563f7a5cb46aa0bd354-toyo.kif
2020-05-19-04-43-23,R対局(早指2),ssaeki,1151,mitsuji,1109,先手勝ち,81,対抗形;居飛車;船囲い;袖飛車;,三間飛車;片美濃囲い;美濃囲い;,http://192.168.56.7/t-msyk.github.io/sc24/kif/2020-05-19-04-43-23-3695273-51a6791db50b486816b2a5ec36bb2664-toyo.kif
2020-05-18-20-37-01,R対局(15分),mitsuji,1094,COBBYS,1081,先手勝ち,101,三間飛車;早石田;片美濃囲い;石田流本組;美濃囲い;,四間飛車;,http://192.168.56.7/t-msyk.github.io/sc24/kif/2020-05-18-20-37-01-3688499-7c19176851d9e2d3b17de8b9e8d2acbf-toyo.kif
2020-05-18-18-27-03,R対局(15分),mitsuji,1075,27tomo,1145,先手勝ち,67,三間飛車;早石田;片美濃囲い;美濃囲い;,居飛車;船囲い;,http://192.168.56.7/t-msyk.github.io/sc24/kif/2020-05-18-18-27-03-3685219-be5e0c0d84e6654475f8aa0bd2998957-toyo.kif
